"Word","Bigram","Conc.M","Conc.SD","Unknown","Total","Percent_known","SUBTLEX","Dom_Pos","Dom_Pos_s"
"a",0,1.46,1.14,2,30,0.93,1041179,"Article","f"
"a cappella",1,2.92,1.44,3,29,0.9,0,"#N/A","f"
"aardvark",0,4.68,0.86,0,28,1,21,"Noun","n"
"aback",0,1.65,1.07,4,27,0.85,15,"Adverb","r"
"abacus",0,4.52,1.12,2,29,0.93,12,"Noun","n"
"abandon",0,2.54,1.45,1,27,0.96,413,"Verb","v"
"abandoned",0,2.52,1.27,0,29,1,678,"Verb","v"
"abandonee",0,2.92,1.28,4,28,0.86,0,"#N/A","f"
"abandoner",0,2.5,1.5,2,30,0.93,1,"Noun","n"
"abandonment",0,2.54,1.29,0,28,1,49,"Noun","n"
"abasement",0,1.67,1.01,2,26,0.92,0,"#N/A","f"
"abatement",0,1.92,1.29,4,30,0.87,3,"Noun","n"
"abbreviate",0,2.59,1.53,0,27,1,1,"Verb","v"
"abbreviated",0,3.1,1.54,0,30,1,16,"Adjective","a"
"abbreviation",0,3.07,1.51,0,29,1,12,"Noun","n"
"abdicate",0,2.08,1.29,2,28,0.93,9,"Verb","v"
"abdomen",0,4.7,0.67,0,27,1,171,"Noun","n"
"abdominal",0,4.28,1.16,0,29,1,174,"Adjective","a"
"abdominally",0,3.15,1.46,3,30,0.9,0,"#N/A","f"
"abduct",0,2.88,1.51,2,28,0.93,36,"Verb","v"
"abductee",0,3.27,1.44,0,30,1,20,"#N/A","f"
"abduction",0,3.07,1.47,0,27,1,185,"Noun","n"
"abductor",0,3.89,1.37,0,28,1,18,"Noun","n"
"abhor",0,1.81,1.17,3,29,0.9,12,"Verb","v"
"abhorrence",0,2.15,1.26,1,28,0.96,0,"#N/A","f"
"abhorrently",0,2.04,1.32,2,29,0.93,0,"#N/A","f"
"abhorring",0,1.68,0.8,4,29,0.86,0,"#N/A","f"
"abide",0,1.68,0.86,0,28,1,138,"Verb","v"
"abiding",0,2.07,1.13,0,29,1,25,"Adjective","a"
"abidingly",0,1.82,0.94,2,30,0.93,0,"#N/A","f"
"ability",0,1.81,0.88,0,27,1,980,"Noun","n"
"abject",0,1.67,0.96,4,28,0.86,20,"Adjective","a"
"ablaze",0,3.82,1.16,0,28,1,21,"Adjective","a"
"able",0,2.38,1.42,1,27,0.96,8155,"Adjective","a"
"ably",0,1.78,1.19,2,29,0.93,9,"Adverb","r"
"abnormal",0,2.14,1.38,0,29,1,148,"Adjective","a"
"abnormality",0,2.48,1.33,0,25,1,26,"Noun","n"
"abnormally",0,1.75,0.84,0,28,1,20,"Adverb","r"
"aboard",0,3.97,1.3,0,30,1,1358,"Adverb","r"
"abode",0,3.92,1.38,2,26,0.92,33,"Noun","n"
"abolish",0,2.19,1.17,0,26,1,24,"Verb","v"
"abolishable",0,1.96,1.16,3,27,0.89,0,"#N/A","f"
"abolisher",0,2.29,1.15,1,29,0.97,0,"#N/A","f"
"abolishment",0,2.31,1.42,0,29,1,0,"#N/A","f"
"abolition",0,2.43,1.5,1,29,0.97,10,"Noun","n"
"abolitionism",0,1.86,0.93,1,29,0.97,1,"Noun","n"
"abolitionist",0,3.28,1.51,2,27,0.93,11,"Noun","n"
"abominable",0,1.89,0.99,2,30,0.93,32,"Adjective","a"
"abominableness",0,1.58,0.83,3,27,0.89,0,"#N/A","f"
"abominably",0,2.14,1.13,1,30,0.97,8,"Adverb","r"
"abominate",0,1.68,0.99,3,28,0.89,3,"Verb","v"
"abomination",0,2.23,1.24,0,26,1,58,"Noun","n"
"aboriginal",0,3.12,1.34,2,28,0.93,9,"Adjective","a"
"abort",0,2.83,1.23,0,30,1,235,"Verb","v"
"aborted",0,2.83,1.36,0,29,1,32,"Verb","v"
"abortion",0,3.41,1.39,0,27,1,369,"Noun","n"
"abortionist",0,3.19,1.47,1,27,0.96,4,"Noun","n"
"abortive",0,1.88,0.99,3,29,0.9,1,"Adjective","a"
"abortively",0,1.95,1.05,4,26,0.85,1,"Adverb","r"
"abound",0,2.27,1.19,2,28,0.93,18,"Verb","v"
"abounding",0,2.04,1.19,2,29,0.93,4,"Verb","v"
"about",0,1.77,0.95,0,26,1,185206,"Preposition","f"
"above",0,3.33,1.34,0,24,1,2493,"Preposition","f"
"above all",1,2.11,1.55,2,29,0.93,0,"#N/A","f"
"aboveboard",0,2.8,1.47,4,29,0.86,14,"Noun","n"
"aboveground",0,4.03,1.24,0,29,1,7,"Adjective","a"
"abovementioned",0,2.96,1.57,1,29,0.97,1,"Adjective","a"
"abracadabra",0,2.04,1.43,3,29,0.9,53,"Noun","n"
"abrasion",0,4.57,0.88,0,28,1,18,"Noun","n"
"abrasive",0,3.03,1.35,0,30,1,23,"Adjective","a"
"abrasively",0,2.07,1.07,0,29,1,0,"#N/A","f"
"abrasiveness",0,2.72,1.31,0,29,1,2,"Noun","n"
"abreast",0,2.23,1.31,1,27,0.96,26,"Adjective","a"
"abridge",0,2.77,1.53,0,26,1,1,"Noun","n"
"abridged",0,1.77,1.03,1,27,0.96,9,"Adjective","a"
"abridgment",0,2.67,1.58,3,27,0.89,0,"#N/A","f"
"abroad",0,2.72,1.43,1,26,0.96,250,"Adverb","r"
"abrupt",0,2.27,1.11,0,30,1,58,"Adjective","a"
"abruptly",0,2.36,1.28,0,28,1,45,"Adverb","r"
"abruptness",0,2.04,1.02,0,27,1,4,"Noun","n"
"abscess",0,4.48,0.8,1,28,0.96,25,"Noun","n"
"abscessed",0,2.69,1.29,1,27,0.96,3,"Verb","v"
"absence",0,2.31,1.35,0,26,1,322,"Noun","n"
"absent",0,2.7,1.44,0,30,1,131,"Adjective","a"
"absentee",0,3.29,1.38,0,28,1,18,"Noun","n"
"absenteeism",0,2.35,1.47,3,26,0.88,5,"Noun","n"
"absently",0,1.71,1.12,0,28,1,0,"#N/A","f"
"absentminded",0,2,0.96,0,29,1,3,"Adjective","a"
"absentmindedly",0,1.76,1.09,0,29,1,0,"#N/A","f"
"absentmindedness",0,1.75,1.11,1,29,0.97,1,"Noun","n"
"absentness",0,1.88,1.07,1,27,0.96,0,"#N/A","f"
"absinthe",0,4.3,1.22,1,24,0.96,28,"Verb","v"
"absolute",0,1.81,1.24,0,27,1,577,"Adjective","a"
"absolutely",0,1.97,1.19,0,30,1,5769,"Adverb","r"
"absoluteness",0,1.5,1.04,0,30,1,1,"Noun","n"
"absolution",0,1.78,1.05,2,29,0.93,48,"Noun","n"
"absolutism",0,1.46,1.03,2,28,0.93,0,"#N/A","f"
"absolutist",0,2.7,1.4,4,27,0.85,0,"#N/A","f"
"absolvable",0,1.8,1.08,3,28,0.89,0,"#N/A","f"
"absolve",0,1.85,1.01,1,27,0.96,29,"Verb","v"
"absorb",0,3.11,1.26,0,28,1,101,"Verb","v"
"absorbability",0,2.38,1.06,4,28,0.86,0,"#N/A","f"
"absorbable",0,2.47,1.36,0,30,1,0,"#N/A","f"
"absorbed",0,2.44,1.26,0,25,1,78,"Verb","v"
"absorbency",0,2.97,1.4,0,31,1,0,"#N/A","f"
"absorbent",0,3.1,1.45,0,29,1,8,"Adjective","a"
"absorber",0,2.96,1.43,2,29,0.93,3,"Noun","n"
"absorbing",0,3.33,1,0,27,1,23,"Verb","v"
"absorbingly",0,2.04,1.23,4,28,0.86,0,"#N/A","f"
"absorption",0,3.22,1.48,0,27,1,18,"Noun","n"
"absorptiveness",0,2.19,1.18,2,29,0.93,0,"#N/A","f"
"abstain",0,2.38,1.42,0,29,1,26,"Verb","v"
"abstainer",0,2.62,1.47,3,29,0.9,0,"#N/A","f"
"abstention",0,2.16,1.28,4,29,0.86,6,"Noun","n"
"abstinence",0,1.72,1.28,0,29,1,45,"Noun","n"
"abstinent",0,1.77,1.18,3,29,0.9,3,"Noun","n"
"abstinently",0,2,1.05,3,31,0.9,0,"#N/A","f"
"abstract",0,1.45,0.91,0,29,1,111,"Adjective","a"
"abstracted",0,1.48,0.87,1,30,0.97,3,"Adjective","a"
"abstractedly",0,1.54,0.96,1,29,0.97,0,"#N/A","f"
"abstractedness",0,1.59,0.8,2,29,0.93,0,"#N/A","f"
"abstraction",0,1.57,1,0,28,1,15,"Noun","n"
"abstractionism",0,1.75,1.15,3,27,0.89,0,"#N/A","f"
"abstractionist",0,2.52,1.66,4,29,0.86,1,"Noun","n"
"abstractive",0,1.6,1.15,2,27,0.93,0,"#N/A","f"
"abstractly",0,1.36,0.62,1,29,0.97,2,"Adverb","r"
"abstractness",0,1.5,1.04,0,30,1,0,"#N/A","f"
"absurd",0,1.64,0.95,0,28,1,495,"Adjective","a"
"absurdity",0,1.25,0.59,1,29,0.97,32,"Noun","n"
"absurdly",0,1.55,0.87,0,29,1,15,"Adverb","r"
"absurdness",0,1.46,0.92,0,28,1,0,"#N/A","f"
"abundance",0,2.21,1.2,1,29,0.97,45,"Noun","n"
"abundant",0,2.83,1.46,0,30,1,29,"Adjective","a"
"abundantly",0,2.22,1.28,0,27,1,21,"Adverb","r"
"abuse",0,2.71,1.27,0,28,1,523,"Noun","n"
"abuser",0,3.86,1.51,2,30,0.93,16,"Noun","n"
"abusive",0,2.55,1.43,0,29,1,83,"Adjective","a"
"abusively",0,2.2,1.21,0,30,1,0,"#N/A","f"
"abusiveness",0,1.84,1.18,1,26,0.96,1,"Noun","n"
"abysmally",0,2.12,0.97,3,28,0.89,1,"Adverb","r"
"abyss",0,3.07,1.7,0,28,1,90,"Noun","n"
"academia",0,2.12,1.26,3,27,0.89,12,"Noun","n"
"academic",0,2.11,1.22,0,27,1,238,"Adjective","a"
"academic year",1,3.71,1.46,0,28,1,0,"#N/A","f"
"academically",0,1.9,1.03,0,30,1,11,"Adverb","r"
"academy",0,4.29,1.12,0,28,1,633,"Noun","n"
"accelerant",0,3.4,1.35,2,27,0.93,28,"Noun","n"
"accelerate",0,3.48,1.37,0,27,1,65,"Verb","v"
"accelerated",0,3.18,1.36,0,28,1,49,"Adjective","a"
"acceleration",0,2.97,1.3,0,29,1,44,"Noun","n"
"accelerative",0,2.69,1.38,1,27,0.96,0,"#N/A","f"
"accelerator",0,4.32,1.06,0,28,1,69,"Noun","n"
"acceleratory",0,2.25,1.19,4,28,0.86,0,"#N/A","f"
"accelerometer",0,4.08,1.38,4,28,0.86,0,"#N/A","f"
"accent",0,3.26,1.16,0,27,1,621,"Noun","n"
"accentually",0,2.08,1.29,3,29,0.9,0,"#N/A","f"
"accentuate",0,2,1.17,0,30,1,18,"Verb","v"
"accentuation",0,2.08,1.15,3,28,0.89,0,"#N/A","f"
"accept",0,3.03,1.57,0,29,1,2692,"Verb","v"
"acceptability",0,1.74,0.81,0,27,1,0,"#N/A","f"
"acceptable",0,1.93,1.12,0,28,1,269,"Adjective","a"
"acceptableness",0,1.28,0.54,4,29,0.86,0,"#N/A","f"
"acceptably",0,1.48,0.77,1,32,0.97,0,"#N/A","f"
"acceptance",0,2.21,1.26,0,28,1,161,"Noun","n"
"acceptant",0,2.08,1.26,4,30,0.87,1,"Noun","n"
"accepted",0,2.28,1.33,0,29,1,801,"Verb","v"
"acceptor",0,2.79,1.38,3,27,0.89,0,"#N/A","f"
"access",0,2.71,1.44,0,28,1,1615,"Noun","n"
"accessibility",0,2.3,1.23,0,27,1,2,"Noun","n"
"accessible",0,1.8,0.96,1,26,0.96,56,"Adjective","a"
"accessibly",0,2.35,1.32,1,27,0.96,0,"#N/A","f"
"accessorize",0,2.93,1.49,0,29,1,18,"Verb","v"
"accessory",0,4.1,1.16,0,30,1,147,"Noun","n"
"accident",0,3.26,1.48,0,27,1,4146,"Noun","n"
"accidental",0,2.17,1.23,0,29,1,153,"Adjective","a"
"accidentally",0,1.71,0.94,0,28,1,449,"Adverb","r"
"accidently",0,1.88,1.05,0,25,1,11,"Adverb","r"
"acclaim",0,2.04,1.21,1,26,0.96,22,"Noun","n"
"acclaimer",0,2.04,1.4,4,27,0.85,0,"#N/A","f"
"acclamation",0,2.23,1.14,3,29,0.9,1,"Noun","n"
"acclimate",0,1.79,0.72,1,25,0.96,8,"Verb","v"
"acclimation",0,1.9,0.77,1,30,0.97,0,"#N/A","f"
"acclimatization",0,1.83,0.96,1,25,0.96,1,"Noun","n"
"acclimatize",0,2.12,1.08,4,28,0.86,1,"Verb","v"
"accolade",0,2.46,1.32,2,30,0.93,1,"Noun","n"
"accommodate",0,1.86,1.08,1,29,0.97,109,"Verb","v"
"accommodating",0,1.77,1.11,0,26,1,36,"Verb","v"
"accommodatingly",0,2.17,1.03,4,27,0.85,0,"#N/A","f"
"accommodation",0,2.96,1.19,0,27,1,48,"Noun","n"
"accommodative",0,1.73,0.83,4,26,0.85,1,"Adjective","a"
"accommodator",0,2.78,1.53,3,30,0.9,0,"#N/A","f"
"accompanier",0,2.71,1.33,4,28,0.86,1,"#N/A","f"
"accompaniment",0,2.26,1.02,1,28,0.96,15,"Noun","n"
"accompany",0,3.07,1.3,0,28,1,242,"Verb","v"
"accomplice",0,3.34,1.37,0,29,1,216,"Noun","n"
"accomplish",0,2.33,1.37,0,30,1,298,"Verb","v"
"accomplishable",0,1.82,1.12,1,29,0.97,0,"#N/A","f"
"accomplished",0,1.7,1.07,0,27,1,384,"Verb","v"
"accomplisher",0,2.52,1.27,1,24,0.96,0,"#N/A","f"
"accomplishment",0,2.5,1.37,0,28,1,96,"Noun","n"
"accord",0,1.57,1.04,3,26,0.88,83,"Noun","n"
"accordance",0,1.54,0.84,2,30,0.93,81,"Preposition","f"
"accordantly",0,1.57,0.9,3,26,0.88,0,"#N/A","f"
"according",0,1.63,0.74,0,27,1,2135,"Preposition","f"
"accordingly",0,1.58,0.92,0,31,1,93,"Adverb","r"
"accordion",0,4.86,0.59,1,29,0.97,67,"Noun","n"
"accordionist",0,4.61,0.96,0,28,1,0,"#N/A","f"
"accosted",0,2.52,1.45,2,27,0.93,34,"Verb","v"
"account",0,3.08,1.52,0,26,1,2280,"Noun","n"
"accountability",0,1.55,0.99,0,29,1,24,"Noun","n"
"accountable",0,2.21,1.26,0,29,1,72,"Adjective","a"
"accountableness",0,1.39,0.66,3,26,0.88,0,"#N/A","f"
"accountably",0,1.91,1.24,3,26,0.88,0,"#N/A","f"
"accountancy",0,1.68,1.02,2,30,0.93,3,"Noun","n"
"accountant",0,4.41,0.91,0,29,1,315,"Noun","n"
"accounting",0,3.27,1.66,0,26,1,230,"Noun","n"
"accredit",0,2.15,1.26,2,29,0.93,0,"#N/A","f"
"accreditation",0,2.68,1.39,1,29,0.97,9,"Noun","n"
"accredited",0,2.27,1.23,0,30,1,16,"Adjective","a"
"accrue",0,1.61,1.03,3,26,0.88,4,"Verb","v"
"accruement",0,2.46,1.36,4,30,0.87,0,"#N/A","f"
"accumulate",0,3,1.26,0,25,1,29,"Verb","v"
"accumulation",0,2.97,1.43,0,30,1,13,"Noun","n"
"accumulative",0,2.56,1.23,0,25,1,3,"Adjective","a"
"accumulatively",0,2.36,1.31,1,29,0.97,0,"#N/A","f"
"accumulativeness",0,1.92,0.97,3,27,0.89,0,"#N/A","f"
"accumulator",0,2.64,1.15,1,26,0.96,1,"Noun","n"
"accuracy",0,1.85,1.23,0,27,1,76,"Noun","n"
"accurate",0,1.9,1.18,1,30,0.97,400,"Adjective","a"
"accurately",0,2.39,1.52,0,28,1,58,"Adverb","r"
"accurateness",0,2.32,1.47,1,29,0.97,0,"#N/A","f"
"accursed",0,1.93,0.73,3,30,0.9,33,"Adjective","a"
"accusable",0,1.91,0.95,4,27,0.85,0,"#N/A","f"
"accusation",0,2.38,1.24,0,29,1,143,"Noun","n"
"accusative",0,1.6,0.76,0,25,1,0,"#N/A","f"
"accusatively",0,1.64,0.99,0,25,1,0,"#N/A","f"
"accusatorial",0,1.96,1.28,4,30,0.87,0,"#N/A","f"
"accusatory",0,2.15,1.2,1,28,0.96,3,"Adjective","a"
"accuse",0,2.25,1.29,0,28,1,290,"Verb","v"
"accused",0,2.93,1.38,0,27,1,666,"Verb","v"
"accuser",0,3.44,1.58,0,27,1,15,"Noun","n"
"accusingly",0,1.57,0.69,0,28,1,0,"#N/A","f"
"accustom",0,1.48,0.64,1,28,0.96,6,"Verb","v"
"accustomed",0,2.07,1.05,0,30,1,149,"Adjective","a"
"ace",0,3.92,1.47,1,27,0.96,751,"Noun","n"
"acetaminophen",0,3.8,1.76,0,25,1,5,"Noun","n"
"acetone",0,4.42,1.03,2,28,0.93,8,"Noun","n"
"acetylene",0,3.58,1.74,4,28,0.86,23,"Noun","n"
"ache",0,3.43,1.45,0,28,1,127,"Noun","n"
"achievable",0,2.07,1.27,0,27,1,2,"Adjective","a"
"achieve",0,2.29,1.3,0,28,1,374,"Verb","v"
"achievement",0,2.37,1.5,0,30,1,178,"Noun","n"
"achiever",0,2.04,1.28,1,27,0.96,12,"Verb","v"
"achiness",0,2.54,1.36,0,26,1,1,"Noun","n"
"aching",0,2.72,1.58,0,29,1,105,"Verb","v"
"achingly",0,2.17,1.13,1,25,0.96,2,"Adverb","r"
"achy",0,2.96,1.22,3,29,0.9,23,"Adjective","a"
"acid",0,4.25,1,0,28,1,508,"Noun","n"
"acid rain",1,4.2,1.3,0,30,1,0,"#N/A","f"
"acid test",1,4.04,1.25,0,26,1,0,"#N/A","f"
"acidic",0,3.54,1.39,0,26,1,11,"Adjective","a"
"acidification",0,2.78,1.22,3,30,0.9,0,"#N/A","f"
"acidify",0,2.6,1.35,0,30,1,0,"#N/A","f"
"acidity",0,3.4,1.35,1,26,0.96,10,"Noun","n"
"acidly",0,2.18,1.19,1,29,0.97,0,"#N/A","f"
"acidometer",0,4.05,1.46,4,26,0.85,0,"#N/A","f"
"acknowledge",0,2.03,1.33,0,31,1,313,"Verb","v"
"acknowledgeable",0,1.69,0.85,0,29,1,0,"#N/A","f"
"acknowledged",0,2.19,1.33,0,27,1,100,"Verb","v"
"acknowledgement",0,2.62,1.42,0,29,1,21,"Noun","n"
"acne",0,4.89,0.32,0,27,1,46,"Noun","n"
"acorn",0,4.96,0.19,0,27,1,37,"Noun","n"
"acoustic",0,3.28,1.19,1,30,0.97,49,"Adjective","a"
"acoustical",0,2.42,1.35,2,26,0.92,6,"Adjective","a"
"acoustically",0,2.5,1.28,0,30,1,1,"Adverb","r"
"acoustics",0,3.12,1.24,0,25,1,22,"Noun","n"
"acquaint",0,1.52,0.63,1,30,0.97,20,"Verb","v"
"acquaintance",0,3.41,1.18,0,29,1,273,"Noun","n"
"acquainted",0,2.37,1.59,0,30,1,231,"Verb","v"
"acquiesce",0,2.21,1.06,4,28,0.86,3,"Verb","v"
"acquiescently",0,1.58,1.14,3,29,0.9,0,"#N/A","f"
"acquirable",0,2.04,0.94,1,28,0.96,0,"#N/A","f"
"acquire",0,2.93,1.27,0,28,1,135,"Verb","v"
"acquired",0,2.54,1.17,0,28,1,228,"Verb","v"
"acquirement",0,2,1.11,1,28,0.96,0,"#N/A","f"
"acquirer",0,2.52,1.27,4,27,0.85,1,"Noun","n"
"acquisition",0,2.6,1.41,0,25,1,74,"Noun","n"
"acquisitive",0,2.08,1.1,4,28,0.86,3,"Adjective","a"
"acquisitively",0,1.81,1.14,2,29,0.93,0,"#N/A","f"
"acquit",0,2.13,1.17,1,31,0.97,24,"Noun","n"
"acquittal",0,2.38,1.32,1,30,0.97,37,"Noun","n"
"acquitter",0,2.88,1.42,3,28,0.89,0,"#N/A","f"
"acre",0,4.18,1.22,0,28,1,93,"Noun","n"
"acrid",0,2.68,1.6,2,27,0.93,2,"Adjective","a"
"acrimoniously",0,1.61,1.12,3,26,0.88,0,"#N/A","f"
"acrobat",0,4.46,0.88,0,28,1,30,"Noun","n"
"acrobatic",0,3.14,1.38,1,30,0.97,12,"Adjective","a"
"acrobatically",0,2.96,1.34,1,28,0.96,0,"#N/A","f"
"acrobatics",0,4.36,0.95,0,25,1,11,"Noun","n"
"acronym",0,2.64,1.52,0,28,1,15,"Noun","n"
"acrophobia",0,2.32,1.49,3,31,0.9,10,"Noun","n"
"across",0,3.07,1.21,0,28,1,4801,"Preposition","f"
"acrostically",0,2,1.23,4,26,0.85,0,"#N/A","f"
"acrylic",0,4.31,0.84,1,27,0.96,23,"Adjective","a"
"act",0,2.46,1.27,0,26,1,5565,"Verb","v"
"act on",1,2.36,1.37,0,28,1,0,"#N/A","f"
"act out",1,3.07,1.27,0,28,1,0,"#N/A","f"
"act upon",1,2.28,1.31,0,29,1,0,"#N/A","f"
"acting",0,2.54,1.35,0,28,1,2675,"Verb","v"
"action",0,2.86,1.36,0,29,1,3115,"Noun","n"
"actionable",0,2.04,1.37,1,26,0.96,13,"Adjective","a"
"activate",0,2.97,1.35,0,29,1,238,"Verb","v"
"activation",0,2.41,1.31,0,27,1,43,"Noun","n"
"activator",0,3.14,1.56,1,29,0.97,4,"Noun","n"
"active",0,3.32,1.25,0,28,1,584,"Adjective","a"
"actively",0,2.41,1.62,0,29,1,42,"Adverb","r"
"activeness",0,2.52,1.28,2,29,0.93,0,"#N/A","f"
"activism",0,1.79,1.08,0,29,1,9,"Noun","n"
"activist",0,3.34,1.59,0,29,1,50,"Noun","n"
"activity",0,2.72,1.4,0,25,1,657,"Noun","n"
"actor",0,4.57,0.9,0,30,1,1343,"Noun","n"
"actress",0,4.54,0.84,0,28,1,817,"Noun","n"
"acts",0,3.29,1.61,0,28,1,636,"Noun","n"
"actual",0,2.22,1.34,0,27,1,884,"Adjective","a"
"actuality",0,1.96,1.34,0,27,1,24,"Noun","n"
"actualization",0,1.59,0.97,1,28,0.96,3,"Noun","n"
"actualize",0,1.63,0.93,0,27,1,2,"Verb","v"
"actually",0,1.37,0.89,0,30,1,16439,"Adverb","r"
"actuarial",0,2.33,1.02,3,24,0.88,9,"Adjective","a"
"acupressure",0,3.53,1.28,1,31,0.97,6,"Noun","n"
"acupuncture",0,3.83,1.23,0,29,1,37,"Noun","n"
"acupuncturist",0,4.56,1.01,1,28,0.96,9,"Noun","n"
"acute",0,1.92,1.12,0,25,1,150,"Adjective","a"
"acutely",0,1.83,0.97,0,29,1,14,"Adverb","r"
"acuteness",0,2.41,1.24,0,29,1,1,"Noun","n"
"ad",0,4.46,1.14,0,28,1,694,"Noun","n"
"adage",0,1.86,0.94,4,26,0.85,32,"Noun","n"
"adamant",0,1.65,0.89,1,27,0.96,50,"Adjective","a"
"adamantly",0,1.46,0.69,2,30,0.93,2,"Adverb","r"
"adapt",0,2.41,1.32,0,29,1,134,"Verb","v"
"adaptability",0,1.38,0.75,0,26,1,7,"Noun","n"
"adaptable",0,1.85,1.05,2,28,0.93,17,"Adjective","a"
"adaptation",0,2.04,0.96,0,28,1,81,"Noun","n"
"adapter",0,3.82,1.09,0,28,1,11,"Noun","n"
"adaption",0,2.4,1.35,4,29,0.86,1,"Noun","n"
"adaptive",0,1.97,1.27,0,30,1,11,"Adjective","a"
"adaptively",0,2.3,1.3,1,28,0.96,0,"#N/A","f"
"adaptor",0,4.04,1.09,0,27,1,4,"Noun","n"
"add",0,3,1.51,0,30,1,1686,"Verb","v"
"add on",1,3.64,1.25,1,29,0.97,0,"#N/A","f"
"add up",1,2.62,1.37,0,29,1,0,"#N/A","f"
"added",0,2.74,1.48,0,27,1,492,"Verb","v"
"addendum",0,3.44,1.45,2,29,0.93,15,"Noun","n"
"addict",0,3.14,1.38,0,29,1,273,"Noun","n"
"addicted",0,2.13,1.18,0,31,1,231,"Verb","v"
"addictedness",0,2.22,1.34,2,29,0.93,0,"#N/A","f"
"addiction",0,2.85,1.41,0,26,1,199,"Noun","n"
"addictive",0,2.22,1.48,0,27,1,57,"Adjective","a"
"addictiveness",0,1.78,1.15,1,28,0.96,2,"Noun","n"
"addition",0,2.89,1.37,0,27,1,395,"Preposition","f"
"additional",0,2.43,1.19,0,30,1,300,"Adjective","a"
"additionally",0,2.2,1.24,0,30,1,16,"Adverb","r"
"additive",0,3.56,1.5,0,27,1,11,"Adjective","a"
"additively",0,2,1.2,4,30,0.87,0,"#N/A","f"
"address",0,3.89,1.26,0,28,1,2666,"Noun","n"
"addressable",0,2.17,1.26,0,29,1,0,"#N/A","f"
"addressbook",0,4.83,0.59,0,30,1,0,"#N/A","f"
"addressee",0,3.16,1.6,3,28,0.89,6,"Noun","n"
"addresser",0,3.19,1.64,2,29,0.93,2,"Name","f"
"addressor",0,3.11,1.45,2,29,0.93,0,"#N/A","f"
"adept",0,2.23,1.18,1,27,0.96,33,"Adjective","a"
"adeptly",0,1.54,0.83,1,25,0.96,0,"#N/A","f"
"adeptness",0,1.89,1.19,3,30,0.9,1,"Noun","n"
"adequacy",0,1.86,1.08,2,30,0.93,1,"Noun","n"
"adequate",0,1.97,1.09,0,29,1,132,"Adjective","a"
"adequately",0,1.72,0.92,0,29,1,27,"Adverb","r"
"adequateness",0,1.68,0.86,0,28,1,0,"#N/A","f"
"adhere",0,2.62,1.4,0,29,1,29,"Verb","v"
"adherence",0,1.5,0.66,1,25,0.96,9,"Noun","n"
"adherent",0,2.45,1.21,0,29,1,3,"Noun","n"
"adherently",0,2.11,1.31,0,28,1,0,"#N/A","f"
"adhesion",0,3.32,1.31,0,28,1,6,"Noun","n"
"adhesive",0,4.35,0.94,0,26,1,47,"Noun","n"
"adhesively",0,2.87,1.42,2,25,0.92,0,"#N/A","f"
"adhesiveness",0,3.3,1.21,0,30,1,0,"#N/A","f"
"adjacent",0,3.63,1.36,0,27,1,68,"Adjective","a"
"adjacently",0,2.97,1.52,0,31,1,0,"#N/A","f"
"adjectivally",0,1.52,0.96,4,29,0.86,0,"#N/A","f"
"adjective",0,2.43,1.4,0,28,1,25,"Noun","n"
"adjoin",0,2.73,1.04,2,28,0.93,0,"#N/A","f"
"adjoined",0,3.31,1.32,1,27,0.96,1,"Adjective","a"
"adjoining",0,2.93,1.15,0,28,1,57,"Adjective","a"
"adjourn",0,2.54,1.36,2,28,0.93,66,"Verb","v"
"adjournment",0,2.82,1.33,2,30,0.93,11,"Noun","n"
"adjudicate",0,2.12,1.2,3,28,0.89,5,"Verb","v"
"adjudication",0,2.35,1.32,3,29,0.9,9,"Noun","n"
"adjunct",0,2.19,1.2,3,29,0.9,7,"Noun","n"
"adjust",0,2.93,1.36,0,28,1,287,"Verb","v"
"adjustability",0,2.1,1.09,0,30,1,1,"Noun","n"
"adjustable",0,3.27,1.26,0,30,1,16,"Adjective","a"
"adjustably",0,1.9,0.77,0,29,1,0,"#N/A","f"
"adjuster",0,3.23,1.42,1,27,0.96,20,"Noun","n"
"adjustment",0,2.81,1.33,0,27,1,158,"Noun","n"
"adjustor",0,3.43,1.55,1,29,0.97,4,"Noun","n"
"admin",0,2.96,1.43,1,28,0.96,22,"Noun","n"
"administer",0,2.53,1.31,0,30,1,85,"Verb","v"
"administrable",0,1.62,0.94,3,29,0.9,0,"#N/A","f"
"administrate",0,2.89,1.29,0,28,1,2,"Verb","v"
"administration",0,2.78,1.45,0,27,1,387,"Noun","n"
"administrational",0,2.08,1.13,3,29,0.9,0,"#N/A","f"
"administrative",0,2.14,1.21,0,28,1,82,"Adjective","a"
"administratively",0,1.93,1.18,1,29,0.97,0,"#N/A","f"
"administrator",0,3.89,1.25,0,27,1,84,"Noun","n"
"admirable",0,1.81,1.02,0,26,1,133,"Adjective","a"
"admirableness",0,1.7,0.87,3,30,0.9,0,"#N/A","f"
"admirably",0,1.5,0.69,0,28,1,21,"Adverb","r"
"admiral",0,4.11,1.22,0,27,1,845,"Noun","n"
"admiralship",0,2.96,1.55,4,28,0.86,0,"#N/A","f"
"admiration",0,1.86,1.06,0,29,1,107,"Noun","n"
"admire",0,2.04,1.1,0,28,1,722,"Verb","v"
"admired",0,1.84,0.85,1,26,0.96,187,"Verb","v"
"admirer",0,2.93,1.25,0,28,1,151,"Noun","n"
"admiring",0,1.77,0.9,0,30,1,141,"Verb","v"
