item,mean RT,sd for RT,mean rating,sd for rating
mongoose,1274.6,480,4.8,2.6
mongrel,2110,1763.1,3.6,2.3
monkey,1017.1,650.7,6.8,0.7
monsoon,1810.4,1598.6,5.9,1.9
monster,1278.9,1218.2,6.8,1
montage,2985.7,2530.1,2.9,2
moral,2081.2,1217.4,3,2.1
morale,2649.3,2642.3,3.1,2.2
morbid,2032.1,1857.3,3.5,2.3
morning,1617.5,979.7,6,2
moron,1731,1533.4,5,2.2
morphine,1604.1,806.7,5.6,1.9
morsel,1829.1,1694.5,4.9,2.4
mortal,2657.8,3926.2,4.4,2.4
mortar,2133.7,1548.8,4.4,2.4
mortgage,1992.9,2038.7,4.7,2.3
mosey,1921.2,1795.4,3,1.9
motel,1288.3,657.2,6.4,1.2
mother,1178.7,827,6.8,0.7
motif,2359.1,2451.9,2.4,1.9
motion,1960.3,1401.1,4.3,2.1
motive,2297.3,2405.1,3.1,2.2
motley,2036.1,1745.9,2.6,2.1
motor,1324.6,727.1,6.4,1.6
motto,1802.6,1289.8,3.1,2.3
mountain,1016.6,378.8,6.9,0.6
moustache,1572.2,1899.7,6.7,1.2
movement,1964.3,1365.2,4.8,2.2
movie,1344.1,1005,6.8,0.6
mucus,1308.2,610.5,5.5,2
muffin,1072.4,450.8,6.1,1.8
mullet,1159.9,592.1,6.5,1.3
mumble,1629,1334.6,4.6,2.2
mumbo,2900.3,4213.5,2.7,2.3
mummy,1218.1,488.2,6.3,1.4
munchkin,1990.3,1222.9,5.8,1.9
mundane,2104.3,1422.3,2.4,1.9
mural,1643.1,1533.8,5.5,2.2
murder,1451.7,984.4,5.9,2
murmur,1938.6,1663.3,3.7,2.2
muscle,1372.3,947.3,6.8,1.1
music,1351.5,970,6.4,1.3
musket,1306.5,737,5.8,2
mustache,1221.5,1086.8,6.5,1.4
mustard,1131.3,677.3,6.3,1.8
muster,1663.4,2008.6,3.1,2.3
mutant,1939.6,1919.7,5.3,1.9
mutton,1358.4,607.2,3.6,2.4
muzzle,1182.5,536.7,6.3,1.4
myself,1714.6,1031.5,5.7,2.1
mystic,2022.7,1530.2,4.4,2.2
naive,2377.4,1797.4,3.3,2.3
naked,1353.8,741.1,6.8,1
nanny,1417.2,884.8,6.1,1.5
napalm,2233.4,2009.2,4,2.5
napkin,1269.4,1015.7,6.8,0.4
narrow,1471.8,737.2,5.2,2.1
nasal,1442.4,856.5,5.8,2
nasty,1991.1,2061.8,4.4,2.3
nation,1506.6,531.4,5.7,1.6
native,1557.3,948,5.5,1.9
nature,1458.5,918.4,6.2,1.2
naughty,2271.7,2423.9,5,1.9
nauseous,1867.8,2755,4.4,2.4
naval,1700.4,1406,6,2
navel,1590.6,946.3,6,2
navy,1398.5,644.5,6.3,1.3
necklace,1349.3,1022.1,6.4,1.6
nectar,1573.6,1003.5,5.5,2
needle,1940.5,3074.7,6.5,1.3
neglect,1922.7,1570.4,4.1,2.2
neighbor,1252.6,830.7,6.1,1.9
neither,2139.8,2029,2.4,1.9
neon,1740.6,1407.1,5.9,1.7
nephew,1329.5,897.3,6.3,1.4
nervous,2253.7,1733.9,4.4,2.1
network,1934.2,1563.2,4.5,2.1
neural,2135.7,1599.3,3.2,2.2
neuter,2290.7,2265.7,4.8,1.6
neutral,3361.4,7588,3.2,2.3
never,1718.5,1260.3,2.2,1.6
nexus,1925.8,1523.1,2.9,2.4
nibble,1973.2,1955.4,5.1,2.2
nickel,1069.8,469.6,6.7,0.8
nightmare,1382,654.6,5.8,1.9
nimble,2203.5,1640.6,3.6,2.2
ninja,1134.6,643.3,6.7,0.8
nipple,1339.7,1069.2,6.4,1.4
nitrate,2183.3,2319.6,4,2.4
nitro,2255.3,2622.9,3,2.3
nitrous,2473.9,3100.4,3.8,2.4
noble,2526.2,2090.7,4.3,2.1
noggin,1368.9,569.7,5.9,1.9
nomad,1389.4,505,4.9,2.2
noodle,1162.2,578.3,6.5,1.5
normal,2553.1,1660.6,2.5,1.6
nostril,1372.1,788.6,6.6,0.9
nothing,2277,1742.2,2.8,2.3
notice,1991.5,1333.8,3.1,1.9
notion,2417.5,1775.4,3.1,2.1
novel,1413.8,838.8,5.9,1.5
novice,1894,1656.9,3.8,2.5
nowhere,3153.6,4636.3,2.8,2.1
